"head"	"relation"	"tail"
"mondo.0017844"	"associated"	"uniprot.P15056"
"drugbank.DB00399"	"SE"	"meddra.10037032"
"mondo.0018875"	"symptom"	"hpo.0001909"
"drugbank.DB00864"	"SE"	"meddra.10047295"
"drugbank.DB00540"	"target"	"uniprot.P23975"
"mondo.0018458"	"associated"	"uniprot.P53680"
"drugbank.DB13867"	"SE"	"meddra.10073755"
"mondo.0005388"	"associated"	"uniprot.P02768"
"drugbank.DB01026"	"SE"	"meddra.10021665"
"drugbank.DB00715"	"SE"	"meddra.10003285"
"mondo.0019004"	"associated"	"uniprot.P49711"
"drugbank.DB01039"	"SE"	"meddra.10043566"
"mondo.0012247"	"symptom"	"hpo.0002354"
"drugbank.DB01222"	"target"	"uniprot.P14780"
"drugbank.DB01186"	"SE"	"meddra.10022974"
"mondo.0008457"	"associated"	"uniprot.Q12948"
"mondo.0007918"	"symptom"	"hpo.0001820"
"mondo.0015280"	"associated"	"uniprot.Q02750"
"drugbank.DB00783"	"target"	"uniprot.P11474"
"mondo.0011835"	"associated"	"uniprot.P54098"
"mondo.0013480"	"associated"	"uniprot.Q9H8M5"
"drugbank.DB00530"	"target"	"uniprot.Q92630"
"mondo.0011937"	"symptom"	"hpo.0100725"
"drugbank.DB00884"	"SE"	"meddra.10020587"
"drugbank.DB00244"	"SE"	"meddra.10022618"
"mondo.0016581"	"associated"	"uniprot.P52952"
"drugbank.DB00480"	"SE"	"meddra.10020949"
"drugbank.DB00674"	"SE"	"meddra.10003785"
"mondo.0004976"	"associated"	"uniprot.Q01844"
"drugbank.DB06626"	"target"	"uniprot.P07947"
"drugbank.DB05294"	"target"	"uniprot.P57058"
"mondo.0009563"	"associated"	"uniprot.P12694"
"drugbank.DB00669"	"SE"	"meddra.10033546"
"mondo.0019625"	"symptom"	"hpo.0002138"
"mondo.0018824"	"symptom"	"hpo.0200039"
"drugbank.DB00465"	"SE"	"meddra.10019493"
"mondo.0008120"	"associated"	"uniprot.Q9UNE7"
"drugbank.DB08865"	"target"	"uniprot.P00533"
"mondo.0018938"	"associated"	"uniprot.P34059"
"mondo.0014447"	"associated"	"uniprot.Q9BW83"
"mondo.0009738"	"symptom"	"hpo.0000093"
"mondo.0007813"	"symptom"	"hpo.0008064"
"drugbank.DB00740"	"SE"	"meddra.10014080"
"mondo.0008119"	"associated"	"uniprot.P0C7T5"
"mondo.0001187"	"associated"	"uniprot.P12830"
"mondo.0010820"	"associated"	"uniprot.P20711"
"mondo.0005580"	"associated"	"uniprot.Q16665"
"mondo.0010515"	"associated"	"uniprot.P21810"
"drugbank.DB00996"	"SE"	"meddra.10001927"
"mondo.0008045"	"symptom"	"hpo.0200036"
"mondo.0009255"	"associated"	"uniprot.Q14376"
"drugbank.DB01220"	"SE"	"meddra.10009887"
"mondo.0011937"	"symptom"	"hpo.0008064"
"mondo.0014973"	"associated"	"uniprot.Q9H2U2"
"drugbank.DB08873"	"SE"	"meddra.10020850"
"drugbank.DB00248"	"SE"	"meddra.10000496"
"drugbank.DB00273"	"target"	"uniprot.P42262"
"mondo.0019342"	"associated"	"uniprot.Q99708"
"mondo.0014196"	"symptom"	"hpo.0000873"
"mondo.0017185"	"symptom"	"hpo.0002133"
"drugbank.DB00530"	"target"	"uniprot.P16234"
"mondo.0013434"	"associated"	"uniprot.Q4G0X9"
"mondo.0018874"	"associated"	"uniprot.Q13948"
"mondo.0018937"	"symptom"	"hpo.0001640"
"mondo.0011244"	"symptom"	"hpo.0000998"
"drugbank.DB00317"	"target"	"uniprot.O14976"
"mondo.0008104"	"associated"	"uniprot.P29317"
"mondo.0005828"	"associated"	"uniprot.Q9NQC7"
"drugbank.DB00715"	"SE"	"meddra.10043380"
"mondo.0013540"	"symptom"	"hpo.0001004"
"mondo.0014773"	"symptom"	"hpo.0000717"
"mondo.0010848"	"associated"	"uniprot.P08473"
"drugbank.DB00982"	"target"	"uniprot.P10276"
"mondo.0008763"	"symptom"	"hpo.0000123"
"drugbank.DB00425"	"SE"	"meddra.10033664"
"drugbank.DB00751"	"target"	"uniprot.P35367"
"drugbank.DB00718"	"target"	"uniprot.P54098"
"mondo.0009295"	"symptom"	"hpo.0001081"
"mondo.0000107"	"associated"	"uniprot.P05305"
"drugbank.DB08865"	"target"	"uniprot.Q8TDX7"
"mondo.0008145"	"symptom"	"hpo.0000826"
"drugbank.DB04574"	"SE"	"meddra.10046798"
"mondo.0014970"	"associated"	"uniprot.Q86YW0"
"drugbank.DB00315"	"SE"	"meddra.10046798"
"mondo.0010637"	"symptom"	"hpo.0008404"
"mondo.0007916"	"symptom"	"hpo.0003075"
"mondo.0016358"	"associated"	"uniprot.P29279"
"mondo.0007496"	"symptom"	"hpo.0002307"
"mondo.0010651"	"symptom"	"hpo.0002024"
"drugbank.DB00459"	"SE"	"meddra.10018473"
"mondo.0008487"	"associated"	"uniprot.Q15750"
"mondo.0018045"	"associated"	"uniprot.Q9NZ71"
"mondo.0009627"	"associated"	"uniprot.P57081"
"drugbank.DB04868"	"SE"	"meddra.10019295"
"mondo.0020739"	"symptom"	"hpo.0001650"
"drugbank.DB13919"	"target"	"uniprot.P00533"
"mondo.0011017"	"symptom"	"hpo.0001806"
"drugbank.DB00996"	"SE"	"meddra.10028836"
"drugbank.DB06202"	"SE"	"meddra.10023157"
"mondo.0018968"	"associated"	"uniprot.O15178"
"mondo.0005619"	"symptom"	"hpo.0012733"
"mondo.0009253"	"symptom"	"hpo.0000126"
"mondo.0017160"	"symptom"	"hpo.0000734"
"mondo.0005388"	"associated"	"uniprot.Q6P3S1"
"mondo.0009925"	"associated"	"uniprot.P22413"
"mondo.0011475"	"symptom"	"hpo.0001618"
"mondo.0005388"	"associated"	"uniprot.Q495T6"
"mondo.0008919"	"symptom"	"hpo.0001640"
"mondo.0016621"	"associated"	"uniprot.O15527"
"drugbank.DB01224"	"SE"	"meddra.10039168"
"mondo.0009658"	"symptom"	"hpo.0001387"
"mondo.0007032"	"associated"	"uniprot.P20309"
"mondo.0012582"	"symptom"	"hpo.0012418"
"mondo.0009068"	"associated"	"uniprot.P00395"
"drugbank.DB00753"	"target"	"uniprot.Q99928"
"mondo.0010172"	"associated"	"uniprot.O60481"
"drugbank.DB00502"	"target"	"uniprot.P31645"
"drugbank.DB00315"	"SE"	"meddra.10015068"
"drugbank.DB04868"	"target"	"uniprot.P11362"
"mondo.0009843"	"symptom"	"hpo.0001622"
"drugbank.DB00661"	"target"	"uniprot.P08183"
"drugbank.DB00590"	"target"	"uniprot.P08913"
"mondo.0016512"	"symptom"	"hpo.0000298"
"mondo.0007100"	"associated"	"uniprot.P02766"
"mondo.0007252"	"symptom"	"hpo.0000602"
"mondo.0800042"	"associated"	"uniprot.P02545"
"mondo.0019200"	"associated"	"uniprot.P10745"
"drugbank.DB00661"	"target"	"uniprot.P25100"
"mondo.0008386"	"associated"	"uniprot.Q99697"
"mondo.0012695"	"symptom"	"hpo.0002323"
"mondo.0019019"	"symptom"	"hpo.0002150"
"mondo.0011969"	"symptom"	"hpo.0001562"
"mondo.0011382"	"symptom"	"hpo.0001891"
"drugbank.DB00337"	"SE"	"meddra.10047924"
"drugbank.DB01254"	"target"	"uniprot.Q8TDR2"
"mondo.0009779"	"symptom"	"hpo.0001028"
"mondo.0004976"	"associated"	"uniprot.Q99700"
"drugbank.DB00268"	"SE"	"meddra.10047001"
"drugbank.DB00230"	"SE"	"meddra.10005056"
"drugbank.DB00697"	"SE"	"meddra.10043563"
"drugbank.DB00358"	"target"	"uniprot.P30542"
"mondo.0007908"	"symptom"	"hpo.0001387"
"mondo.0009480"	"symptom"	"hpo.0000093"
"mondo.0019171"	"associated"	"uniprot.P0DP25"
"mondo.0001187"	"associated"	"uniprot.P01112"
"mondo.0012534"	"associated"	"uniprot.P49411"
"mondo.0018906"	"associated"	"uniprot.P04818"
"mondo.0012930"	"associated"	"uniprot.Q9BUM1"
"mondo.0011551"	"symptom"	"hpo.0002375"
"mondo.0019373"	"associated"	"uniprot.P19544"
"mondo.0009723"	"associated"	"uniprot.Q96I59"
"mondo.0007844"	"symptom"	"hpo.0004409"
"mondo.0009520"	"symptom"	"hpo.0001259"
"mondo.0014464"	"symptom"	"hpo.0001266"
"drugbank.DB00193"	"SE"	"meddra.10015068"
"drugbank.DB01149"	"SE"	"meddra.10028339"
"drugbank.DB00317"	"target"	"uniprot.Q13163"
"drugbank.DB00783"	"SE"	"meddra.10019465"
"mondo.0009723"	"associated"	"uniprot.Q96RP9"
"mondo.0009783"	"symptom"	"hpo.0002063"
"drugbank.DB01238"	"SE"	"meddra.10023891"
"drugbank.DB01050"	"SE"	"meddra.10020680"
"mondo.0012883"	"associated"	"uniprot.P16070"
"drugbank.DB00715"	"SE"	"meddra.10002969"
"drugbank.DB00619"	"SE"	"meddra.10030942"
"drugbank.DB00239"	"target"	"uniprot.P08913"
"mondo.0011904"	"symptom"	"hpo.0002104"
"drugbank.DB00996"	"SE"	"meddra.10022763"
"mondo.0010848"	"associated"	"uniprot.Q69YN2"
"mondo.0014258"	"associated"	"uniprot.P08243"
"mondo.0015280"	"associated"	"uniprot.Q92963"
"mondo.0013222"	"associated"	"uniprot.Q75V66"
"drugbank.DB00230"	"SE"	"meddra.10023676"
"mondo.0014552"	"symptom"	"hpo.0000104"
"drugbank.DB00268"	"SE"	"meddra.10020712"
"mondo.0013889"	"associated"	"uniprot.A2RRP1"
"drugbank.DB01149"	"SE"	"meddra.10036142"
"mondo.0009691"	"associated"	"uniprot.P16410"
"mondo.0010139"	"symptom"	"hpo.0002045"
"drugbank.DB08865"	"target"	"uniprot.Q9Y616"
"mondo.0008426"	"symptom"	"hpo.0001387"
"mondo.0010911"	"associated"	"uniprot.Q9H251"
"drugbank.DB00540"	"target"	"uniprot.P25100"
"mondo.0014943"	"symptom"	"hpo.0001396"
"mondo.0010061"	"associated"	"uniprot.Q9HAB3"
"mondo.0008814"	"symptom"	"hpo.0001396"
"drugbank.DB00882"	"target"	"uniprot.P08172"
"mondo.0013404"	"symptom"	"hpo.0002878"
"mondo.0012799"	"symptom"	"hpo.0001695"
"mondo.0011218"	"symptom"	"hpo.0000966"
"mondo.0009452"	"symptom"	"hpo.0001947"
"mondo.0018800"	"associated"	"uniprot.P48431"
"mondo.0014120"	"symptom"	"hpo.0000618"
"drugbank.DB06207"	"target"	"uniprot.P35368"
"mondo.0008059"	"symptom"	"hpo.0008404"
"mondo.0007203"	"symptom"	"hpo.0002653"
"mondo.0007959"	"associated"	"uniprot.P51587"
"drugbank.DB00975"	"SE"	"meddra.10007515"
"drugbank.DB06589"	"target"	"uniprot.P08581"
"mondo.0011902"	"symptom"	"hpo.0002317"
"mondo.0016698"	"associated"	"uniprot.C9JLR9"
"drugbank.DB01215"	"SE"	"meddra.10021021"
"mondo.0014751"	"associated"	"uniprot.O60341"
"mondo.0008323"	"associated"	"uniprot.P00797"
"mondo.0005580"	"associated"	"uniprot.P37173"
"mondo.0009475"	"associated"	"uniprot.P26440"
"mondo.0010647"	"symptom"	"hpo.0000027"
"mondo.0011439"	"symptom"	"hpo.0002317"
"drugbank.DB00459"	"SE"	"meddra.10052303"
"drugbank.DB01406"	"target"	"uniprot.P03372"
"mondo.0024557"	"symptom"	"hpo.0002317"
"drugbank.DB01059"	"target"	"uniprot.Q96FL8"
"drugbank.DB08889"	"target"	"uniprot.P07858"
"mondo.0014867"	"symptom"	"hpo.0000726"
"mondo.0008582"	"symptom"	"hpo.0000147"
"mondo.0010977"	"symptom"	"hpo.0031826"
"mondo.0010150"	"associated"	"uniprot.Q92597"
"mondo.0008542"	"associated"	"uniprot.A6NCS4"
"mondo.0013901"	"symptom"	"hpo.0000798"
"mondo.0010004"	"symptom"	"hpo.0200020"
"mondo.0008995"	"symptom"	"hpo.0001636"
"drugbank.DB00343"	"SE"	"meddra.10038923"
"drugbank.DB01037"	"target"	"uniprot.P18089"
"mondo.0014744"	"symptom"	"hpo.0025268"
"mondo.0019567"	"symptom"	"hpo.0002105"
"drugbank.DB06202"	"SE"	"meddra.10019708"
"drugbank.DB00448"	"SE"	"meddra.10048302"
"mondo.0009337"	"symptom"	"hpo.0001698"
"mondo.0013308"	"symptom"	"hpo.0001004"
"drugbank.DB00656"	"SE"	"meddra.10047302"
"drugbank.DB00523"	"target"	"uniprot.P28702"
"drugbank.DB00661"	"target"	"uniprot.Q9Y3Q4"
"drugbank.DB01394"	"SE"	"meddra.10030300"
"mondo.0009192"	"symptom"	"hpo.0002480"
"mondo.0013148"	"symptom"	"hpo.0011712"
"mondo.0008428"	"symptom"	"hpo.0000458"
"drugbank.DB00783"	"target"	"uniprot.Q99527"
"drugbank.DB01165"	"SE"	"meddra.10002948"
"drugbank.DB08882"	"target"	"uniprot.P27487"
"mondo.0016006"	"symptom"	"hpo.0001105"
"mondo.0011975"	"symptom"	"hpo.0001433"
"mondo.0019810"	"associated"	"uniprot.P09874"
"mondo.0015012"	"symptom"	"hpo.0010307"
"drugbank.DB01002"	"target"	"uniprot.P22460"
"drugbank.DB06616"	"target"	"uniprot.O96017"
"mondo.0005580"	"associated"	"uniprot.O60566"
"drugbank.DB00555"	"SE"	"meddra.10039729"
"mondo.0009288"	"symptom"	"hpo.0002155"
"mondo.0009183"	"associated"	"uniprot.Q15149"
"drugbank.DB00669"	"target"	"uniprot.P28221"
"drugbank.DB00537"	"SE"	"meddra.10046593"
"drugbank.DB00882"	"target"	"uniprot.P08912"
"mondo.0007874"	"symptom"	"hpo.0001269"
"mondo.0008748"	"symptom"	"hpo.0002206"
"mondo.0013952"	"symptom"	"hpo.0001396"
"drugbank.DB00268"	"SE"	"meddra.10016936"
"mondo.0018874"	"associated"	"uniprot.P48735"
"mondo.0019591"	"symptom"	"hpo.0040075"
"mondo.0009715"	"symptom"	"hpo.0003552"
"drugbank.DB00215"	"SE"	"meddra.10011401"
"mondo.0007851"	"associated"	"uniprot.Q9NZR4"
"drugbank.DB00715"	"SE"	"meddra.10046593"
"mondo.0100285"	"associated"	"uniprot.P81172"
"mondo.0012789"	"associated"	"uniprot.O75569"
"drugbank.DB00661"	"target"	"uniprot.P35498"
"mondo.0010328"	"associated"	"uniprot.P46100"
"mondo.0019006"	"symptom"	"hpo.0003073"
"drugbank.DB00230"	"SE"	"meddra.10020680"
"mondo.0008995"	"symptom"	"hpo.0001640"
"drugbank.DB06616"	"target"	"uniprot.P29597"
"mondo.0010489"	"symptom"	"hpo.0000752"
"mondo.0019266"	"symptom"	"hpo.0002633"
"mondo.0012549"	"symptom"	"hpo.0001271"
"mondo.0016264"	"symptom"	"hpo.0000099"
"drugbank.DB00480"	"target"	"uniprot.P01375"
"drugbank.DB00982"	"target"	"uniprot.P28482"
"mondo.0014138"	"symptom"	"hpo.0002878"
"mondo.0015253"	"associated"	"uniprot.P62913"
"mondo.0800175"	"symptom"	"hpo.0100520"
"drugbank.DB00938"	"target"	"uniprot.P07550"
"drugbank.DB00603"	"target"	"uniprot.P25021"
"mondo.0018919"	"symptom"	"hpo.0001396"
"mondo.0017775"	"symptom"	"hpo.0003095"
"drugbank.DB00679"	"target"	"uniprot.P05177"
"drugbank.DB00285"	"SE"	"meddra.10044074"
"mondo.0014405"	"symptom"	"hpo.0002789"
"mondo.0007488"	"associated"	"uniprot.P01344"
"mondo.0009354"	"symptom"	"hpo.0001889"
"mondo.0012316"	"symptom"	"hpo.0004326"
"drugbank.DB00235"	"target"	"uniprot.Q07343"
"mondo.0016419"	"associated"	"uniprot.P42336"
"mondo.0014389"	"associated"	"uniprot.Q96EP0"
"mondo.0100213"	"symptom"	"hpo.0000966"
"mondo.0008918"	"symptom"	"hpo.0002045"
"mondo.0044646"	"symptom"	"hpo.0002607"
"mondo.0007039"	"associated"	"uniprot.P35240"
"mondo.0009068"	"symptom"	"hpo.0003076"
"mondo.0010926"	"symptom"	"hpo.0002918"
"mondo.0014119"	"associated"	"uniprot.Q96EY9"
"mondo.0011719"	"associated"	"uniprot.Q13635"
"mondo.0011096"	"associated"	"uniprot.P27986"
"mondo.0008678"	"symptom"	"hpo.0001640"
"mondo.0009738"	"symptom"	"hpo.0001310"
"mondo.0014806"	"associated"	"uniprot.Q15650"
"mondo.0012727"	"associated"	"uniprot.P51451"
"drugbank.DB00552"	"SE"	"meddra.10031252"
"drugbank.DB00996"	"SE"	"meddra.10041235"
"mondo.0014290"	"symptom"	"hpo.0002063"
"drugbank.DB00285"	"SE"	"meddra.10021649"
"mondo.0100224"	"associated"	"uniprot.O75489"
"drugbank.DB00193"	"SE"	"meddra.10020667"
"mondo.0010319"	"symptom"	"hpo.0002063"
"drugbank.DB00472"	"SE"	"meddra.10012218"
"drugbank.DB01224"	"SE"	"meddra.10019468"
"drugbank.DB00571"	"target"	"uniprot.P08588"
"drugbank.DB00379"	"target"	"uniprot.P35499"
"mondo.0005029"	"symptom"	"hpo.0004420"
"mondo.0017380"	"associated"	"uniprot.P60484"
"mondo.0005580"	"associated"	"uniprot.O14686"
"mondo.0012911"	"symptom"	"hpo.0002905"
"mondo.0009723"	"symptom"	"hpo.0003128"
"drugbank.DB01115"	"target"	"uniprot.Q12809"
"drugbank.DB00358"	"SE"	"meddra.10033664"
"mondo.0013168"	"symptom"	"hpo.0001645"
"drugbank.DB08916"	"target"	"uniprot.Q13627"
"mondo.0013364"	"symptom"	"hpo.0100602"
"mondo.0007656"	"symptom"	"hpo.0000726"
"drugbank.DB00393"	"SE"	"meddra.10000496"
"drugbank.DB00264"	"SE"	"meddra.10007625"
"mondo.0010200"	"symptom"	"hpo.0002312"
"drugbank.DB06626"	"target"	"uniprot.O60674"
"drugbank.DB00953"	"SE"	"meddra.10027175"
"drugbank.DB00669"	"SE"	"meddra.10039729"
"mondo.0010911"	"associated"	"uniprot.P01236"
"mondo.0011628"	"symptom"	"hpo.0001259"
"mondo.0012474"	"associated"	"uniprot.Q15822"
"mondo.0014686"	"associated"	"uniprot.Q13426"
"drugbank.DB00813"	"SE"	"meddra.10021133"
"drugbank.DB00619"	"target"	"uniprot.Q9Y2D0"
"drugbank.DB00230"	"SE"	"meddra.10043702"
"mondo.0013990"	"symptom"	"hpo.0000998"
"mondo.0014882"	"associated"	"uniprot.O95363"
"mondo.0018874"	"associated"	"uniprot.O75962"
"drugbank.DB01394"	"target"	"uniprot.P33527"
"drugbank.DB00502"	"target"	"uniprot.P35367"
"drugbank.DB00571"	"SE"	"meddra.10023891"
"drugbank.DB00531"	"SE"	"meddra.10034484"
"mondo.0019810"	"associated"	"uniprot.Q13616"
"drugbank.DB00349"	"SE"	"meddra.10002942"
"drugbank.DB00216"	"SE"	"meddra.10030071"
"mondo.0008965"	"associated"	"uniprot.O15041"
"mondo.0001187"	"associated"	"uniprot.Q8IU99"
"mondo.0011628"	"symptom"	"hpo.0001638"
"mondo.0011989"	"symptom"	"hpo.0030166"
"mondo.0007187"	"associated"	"uniprot.Q9Y6C5"
"mondo.0015780"	"associated"	"uniprot.Q9H668"
"drugbank.DB00480"	"SE"	"meddra.10003662"
"mondo.0018950"	"associated"	"uniprot.Q9HCC0"
"mondo.0008383"	"associated"	"uniprot.P22004"
"mondo.0008493"	"symptom"	"hpo.0001923"
"drugbank.DB00321"	"SE"	"meddra.10007636"
"drugbank.DB00740"	"SE"	"meddra.10020910"
"mondo.0007607"	"associated"	"uniprot.Q8NFG4"
"mondo.0008151"	"associated"	"uniprot.Q75V66"
"mondo.0011095"	"associated"	"uniprot.P45379"
"mondo.0009552"	"symptom"	"hpo.0008064"
"drugbank.DB00262"	"SE"	"meddra.10008107"
"mondo.0014512"	"associated"	"uniprot.Q00577"
"mondo.0011183"	"symptom"	"hpo.0002273"
"mondo.0009097"	"symptom"	"hpo.0007957"
"mondo.0017366"	"associated"	"uniprot.P08581"
"mondo.0013551"	"symptom"	"hpo.0008807"
"drugbank.DB01043"	"SE"	"meddra.10043570"
"drugbank.DB00872"	"SE"	"meddra.10036142"
"mondo.0016674"	"associated"	"uniprot.P19544"
"mondo.0010805"	"symptom"	"hpo.0002607"
"drugbank.DB00480"	"SE"	"meddra.10025327"
"drugbank.DB00906"	"SE"	"meddra.10020559"
"drugbank.DB00458"	"target"	"uniprot.Q01959"
"mondo.0015011"	"symptom"	"hpo.0002352"
"mondo.0016820"	"associated"	"uniprot.O95255"
"mondo.0011781"	"symptom"	"hpo.0002072"
"mondo.0018153"	"symptom"	"hpo.0002202"
"drugbank.DB06695"	"target"	"uniprot.P05981"
"drugbank.DB00864"	"SE"	"meddra.10020622"
"mondo.0008876"	"symptom"	"hpo.0000998"
"drugbank.DB11750"	"SE"	"meddra.10024438"
"drugbank.DB01175"	"SE"	"meddra.10027514"
"mondo.0014530"	"symptom"	"hpo.0001310"
"drugbank.DB09065"	"target"	"uniprot.Q9HB55"
"drugbank.DB00864"	"SE"	"meddra.10047290"
"mondo.0013512"	"symptom"	"hpo.0001878"
"mondo.0009104"	"symptom"	"hpo.0000541"
"mondo.0010592"	"symptom"	"hpo.0200036"
"drugbank.DB00285"	"SE"	"meddra.10020910"
"mondo.0013768"	"associated"	"uniprot.O95255"
"drugbank.DB00864"	"target"	"uniprot.P05113"
"mondo.0018229"	"associated"	"uniprot.P01889"
"mondo.0054835"	"symptom"	"hpo.0002396"
"mondo.0001881"	"symptom"	"hpo.0003073"
"drugbank.DB06616"	"target"	"uniprot.Q05397"
"mondo.0010457"	"symptom"	"hpo.0002104"
"drugbank.DB00335"	"target"	"uniprot.P07550"
"drugbank.DB00321"	"target"	"uniprot.P25021"
"drugbank.DB00502"	"target"	"uniprot.P08913"
"mondo.0011076"	"symptom"	"hpo.0001678"
"mondo.0009666"	"symptom"	"hpo.0001096"
"drugbank.DB00307"	"SE"	"meddra.10020647"
"mondo.0010099"	"symptom"	"hpo.0002072"
"drugbank.DB09477"	"SE"	"meddra.10037375"
"mondo.0010110"	"associated"	"uniprot.Q6UXX9"
"drugbank.DB00530"	"target"	"uniprot.Q06418"
"mondo.0013966"	"symptom"	"hpo.0004756"
"drugbank.DB00697"	"SE"	"meddra.10039729"
"mondo.0011945"	"symptom"	"hpo.0001640"
"mondo.0008922"	"associated"	"uniprot.P04179"
"mondo.0007564"	"symptom"	"hpo.0001482"
"mondo.0014139"	"symptom"	"hpo.0001562"
"drugbank.DB00227"	"target"	"uniprot.P04035"
"drugbank.DB00582"	"SE"	"meddra.10044066"
"drugbank.DB00188"	"target"	"uniprot.P28062"
"mondo.0018940"	"associated"	"uniprot.P55268"
"drugbank.DB00215"	"SE"	"meddra.10013142"
"mondo.0060611"	"symptom"	"hpo.0001972"
"drugbank.DB01268"	"target"	"uniprot.P57059"
"mondo.0016619"	"associated"	"uniprot.Q8WWZ3"
"mondo.0010714"	"associated"	"uniprot.P20700"
"mondo.0008542"	"associated"	"uniprot.P27539"
"mondo.0014688"	"symptom"	"hpo.0002323"
"mondo.0006292"	"associated"	"uniprot.P09488"
"drugbank.DB01273"	"target"	"uniprot.P11230"
"drugbank.DB00353"	"target"	"uniprot.P10635"
"drugbank.DB00753"	"target"	"uniprot.Q7Z418"
"mondo.8000006"	"symptom"	"hpo.0011947"
"drugbank.DB01177"	"target"	"uniprot.P33527"
"mondo.0009475"	"symptom"	"hpo.0001942"
"mondo.0014048"	"symptom"	"hpo.0003002"
"mondo.0008908"	"symptom"	"hpo.0001007"
"drugbank.DB00887"	"target"	"uniprot.P05023"
"drugbank.DB05521"	"target"	"uniprot.P25774"
"mondo.0012323"	"symptom"	"hpo.0002878"
"mondo.0008854"	"associated"	"uniprot.Q13049"
"drugbank.DB06616"	"target"	"uniprot.P23443"
"drugbank.DB01175"	"SE"	"meddra.10036661"
"mondo.0012124"	"symptom"	"hpo.0006543"
"mondo.0007269"	"associated"	"uniprot.Q30201"
"drugbank.DB06626"	"target"	"uniprot.P17948"
"mondo.0010533"	"symptom"	"hpo.0000618"
